Processor Pool Total: 2115141856 Used:  255817016 Free: 1859324840
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    3149400 Used:    3148568 Free:        832

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 422   0          0          0      29944          0          0 BD MACSEC Bulk S
 258   0          0          0      29944          0          0 VRRS            
 256   0        448        448      29944          0          0 SpanTree Msg    
 498   0          0          0      29944          0          0 LS LIB          
 117   0          0          0      29944          0          0 CHKPT Test clien
 500   0          0          0      29944          0          0 IP TRUST Registe
 118   0          0          0      29944          0          0 CHKPT Test clien
  42   0      17864      17864      29944          0          0 ARP Background  
 503   0        448        448      29944          0          0 VPM_MWI_BACKGROU
 318   0          0          0      29944          0          0 Socket Timers   
  96   0          0          0      29944          0          0 SBC IPC Hold Que
 417   0        448        448      29944          0          0 ATIP_UDP_TSK    
