command_name,platform
show lpts pifib hardware police location,cisco_xr
show mpls ldp neighbor brief,cisco_xr
show ospf neighbor,cisco_xr
show ospf vrf all interface brief,cisco_xr
show ospf vrf all neighbor,cisco_xr
show pim ipv4 group-map,cisco_xr
show pim ipv4 interface,cisco_xr
show pim ipv4 neighbor,cisco_xr
show pim neighbor,cisco_xr
show platform summary location all,cisco_xr
show processes cpu,cisco_xr
show redundancy summary,cisco_xr
show rsvp neighbors,cisco_xr
show running-config hostname,cisco_xr
show version,cisco_xr
show version brief,cisco_xr
show vrf all detail,cisco_xr
show arp,dell_force10
show ip interface brief,dell_force10
show version,dell_force10
show vlan,dell_force10
show vlan brief,dell_force10
show bridge address table,dell_powerconnect
show interfaces description,dell_powerconnect
show interfaces status,dell_powerconnect
show arpentry,dlink_ds
interfaces brief,edgecore_show
interfaces status,edgecore_show
interfaces switchport,edgecore_show
ip interface,edgecore_show
system,edgecore_show
version,edgecore_show
vlan,edgecore_show
interface,eltex_show
interfaces description,eltex_show
interfaces status,eltex_show
interfaces switchport,eltex_show
ip interface,eltex_show
system,eltex_show
system id,eltex_show
vlan,eltex_show
show arp,ericsson_ipos
show isis adjacency,ericsson_ipos
show version,ericsson_ipos
show fdb,extreme_exos
show iparp,extreme_exos
show ipconfig,extreme_exos
show ports description,extreme_exos
show ports information,extreme_exos
show ports information detail,extreme_exos
show sharing,extreme_exos
show vlan description,extreme_exos
show clock,extreme_slxos
show ip interface brief,extreme_slxos
lldprx port neighbor details port-name,fortinet_diagnose
sys top,fortinet_diagnose
date,fortinet_execute
dhcp lease-list,fortinet_execute
log display,fortinet_execute
ping,fortinet_execute
time,fortinet_execute
traceroute,fortinet_execute
ifconfig,fortinet_fnsysctl
hardware nic,fortinet_get
hardware nic nic-name,fortinet_get
router info bgp neighbors,fortinet_get
router info bgp summary,fortinet_get
router info ospf status,fortinet_get
router info routing-table all,fortinet_get
system arp,fortinet_get
system ha status,fortinet_get
system interface,fortinet_get
system interface physical,fortinet_get
system status,fortinet_get
show ether,fsas_sir
show ip ospf neighbor,fsas_sir
show ip route,fsas_sir
show system information,fsas_sir
show vlan,fsas_sir
display arp,hp_comware
display bgp peer ipv4,hp_comware
display clock,hp_comware
display counters bound interface,hp_comware
display device manuinfo,hp_comware
display interface,hp_comware
display interface brief,hp_comware
display ip interface,hp_comware
display ip routing-table,hp_comware
display ip vpn-instance,hp_comware
display ip vpn-instance instance-name,hp_comware
display link-aggregation verbose,hp_comware
display lldp neighbor-information list,hp_comware
display lldp neighbor-information verbose,hp_comware
display mac-address,hp_comware
display vlan all,hp_comware
display vlan brief,hp_comware
show arp,hp_procurve
show cdp neighbors detail,hp_procurve
show interfaces,hp_procurve
show interfaces brief,hp_procurve
show ip,hp_procurve
show ip route,hp_procurve
show lldp info remote-device,hp_procurve
show lldp info remote-device detail,hp_procurve
show mac-address,hp_procurve
show port-security,hp_procurve
show system,hp_procurve
show tech buffers,hp_procurve
show trunks,hp_procurve
show version,hp_procurve
show vlans,hp_procurve
display access mode,huawei_ont
display boardItem,huawei_ont
display deviceInfo,huawei_ont
display epon ont info,huawei_ont
display flashlock status,huawei_ont
display inner version,huawei_ont
display lanmac,huawei_ont
display log info,huawei_ont
display macaddress,huawei_ont
display machineItem,huawei_ont
display memory info,huawei_ont
display optic,huawei_ont
display optmode,huawei_ont
display port statistics portid 0,huawei_ont
display portstatistics portnum 0,huawei_ont
display pppoe em result,huawei_ont
display productmac,huawei_ont
display rf config,huawei_ont
display sn,huawei_ont
display swm bootstate,huawei_ont
display swm state,huawei_ont
display sysinfo,huawei_ont
display timeout,huawei_ont
display version,huawei_ont
display wanmac,huawei_ont
display wifi information,huawei_ont
display board,huawei_smartax
display board serial-number,huawei_smartax
display cpu,huawei_smartax
display location,huawei_smartax
display location aaaa-aaaa-aaaa ont,huawei_smartax
display mac-address,huawei_smartax
display mac-address ont 0 1 2 0,huawei_smartax
display mem,huawei_smartax
display ont autofind,huawei_smartax
display ont capability all,huawei_smartax
display ont gemport 0 ontid 0,huawei_smartax
display ont info 0 1,huawei_smartax
display ont info 0 1 2,huawei_smartax
display ont info description,huawei_smartax
display ont info summary ont,huawei_smartax
display ont info summary sn,huawei_smartax
display ont optical-info 0 all,huawei_smartax
display ont port state 0 1 eth-port,huawei_smartax
display ont port vlan 0 1 byport eth 0,huawei_smartax
display ont port vlan 0 1 byvlan 0,huawei_smartax
display ont snmp-profile 0 all,huawei_smartax
display ont version summary 0,huawei_smartax
display ont wan-info 0 1 2 0,huawei_smartax
display ont wlan-info 0 1 2 0,huawei_smartax
display ont wlan-status 0 1,huawei_smartax
display ont-lineprofile gpon all,huawei_smartax
display ont-srvprofile gpon all,huawei_smartax
display port info,huawei_smartax
display service-port all,huawei_smartax
display sysman service state,huawei_smartax
display sysuptime,huawei_smartax
display temperature,huawei_smartax
display version,huawei_smartax
ont add,huawei_smartax
port vlan,huawei_smartax
dir,huawei_vrp
display acl all,huawei_vrp
display ap all,huawei_vrp
display arp all,huawei_vrp
display arp brief,huawei_vrp
display bgp peer,huawei_vrp
display device,huawei_vrp
display eth-trunk,huawei_vrp
display http server,huawei_vrp
display interface,huawei_vrp
display interface brief,huawei_vrp
display interface description,huawei_vrp
display ip routing-table verbose,huawei_vrp
display ip vpn-instance,huawei_vrp
display ip vpn-instance interface,huawei_vrp
display ipv6 neighbors,huawei_vrp
display isis peer,huawei_vrp
display license verbose,huawei_vrp
display lldp neighbor,huawei_vrp
display mac-address,huawei_vrp
display module-information verbose,huawei_vrp
display mpls te tunnel,huawei_vrp
display nat server,huawei_vrp
display ntp status,huawei_vrp
display patch-information,huawei_vrp
display port vlan,huawei_vrp
display service-set all,huawei_vrp
display service-set id id,huawei_vrp
display sn license,huawei_vrp
display snmp-agent community read,huawei_vrp
display startup,huawei_vrp
display telnet server status,huawei_vrp
display temperature,huawei_vrp
display traffic-filter applied-record,huawei_vrp
display version,huawei_vrp
display vlan,huawei_vrp
display vlan brief,huawei_vrp
virtual-cable-test,huawei_vrp
show lldp table,ipinfusion_ocnos
show arp no-resolve,juniper_junos
show bgp summary,juniper_junos
show chassis cluster interfaces,juniper_junos
show chassis cluster status,juniper_junos
show chassis firmware,juniper_junos
show chassis hardware,juniper_junos
show ethernet-switching table,juniper_junos
show interfaces,juniper_junos
show isis adjacency,juniper_junos
show lacp interfaces,juniper_junos
show lldp neighbors,juniper_junos
show ospf neighbor,juniper_junos
show route summary,juniper_junos
show rsvp interface,juniper_junos
show system configuration database usage,juniper_junos
show system processes brief,juniper_junos
show system processes summary,juniper_junos
show system uptime,juniper_junos
show version,juniper_junos
show vlans,juniper_junos
get route,juniper_screenos
-a,linux_arp
-t bios,linux_dmidecode
-t memory,linux_dmidecode
-t processor,linux_dmidecode
-t system,linux_dmidecode
address show,linux_ip
link show,linux_ip
route show,linux_ip
vrf show,linux_ip
linux iwconfig,linux_iwconfig
wlan0 scanning,linux_iwlist
connection show,linux_nmcli
config 1,linux_pct
list,linux_pct
linux pveversion,linux_pveversion
config 1,linux_qm
list,linux_qm
linux top,linux_top
linux vzlist,linux_vzlist
interface bonding print detail,mikrotik_routeros
interface bridge host print terse without-paging,mikrotik_routeros
interface ethernet monitor name once,mikrotik_routeros
interface ethernet poe print without-paging,mikrotik_routeros
interface ethernet print,mikrotik_routeros
interface print brief,mikrotik_routeros
interface print detail,mikrotik_routeros
interface print terse without-paging,mikrotik_routeros
interface vlan print detail,mikrotik_routeros
ip address export verbose,mikrotik_routeros
ip address print,mikrotik_routeros
ip arp print,mikrotik_routeros
ip arp print terse without-paging,mikrotik_routeros
ip arp print without-paging,mikrotik_routeros
ip dhcp-server lease print,mikrotik_routeros
ip dhcp-server lease print terse without-paging,mikrotik_routeros
ip dhcp-server lease print without-paging,mikrotik_routeros
ip firewall address-list print terse,mikrotik_routeros
ip firewall filter print all without-paging,mikrotik_routeros
ip firewall nat print all without-paging,mikrotik_routeros
ip hotspot ip-binding print terse without-paging,mikrotik_routeros
ip neighbor print detail,mikrotik_routeros
ip route print detail,mikrotik_routeros
ip route print terse,mikrotik_routeros
ip route print terse without-paging,mikrotik_routeros
ipv6 neighbor print without-paging,mikrotik_routeros
log print detail without-paging,mikrotik_routeros
ping,mikrotik_routeros
routing bgp peer print status,mikrotik_routeros
routing bgp peer print status without-paging,mikrotik_routeros
routing ospf interface print terse,mikrotik_routeros
routing ospf neighbor print,mikrotik_routeros
routing ospf neighbor print terse without-paging,mikrotik_routeros
snmp community print without-paging,mikrotik_routeros
system clock print,mikrotik_routeros
system identity print,mikrotik_routeros
system resource print,mikrotik_routeros
system routerboard print,mikrotik_routeros
tool profile,mikrotik_routeros
tool speed-test address,mikrotik_routeros
user active print,mikrotik_routeros
user print,mikrotik_routeros
cat bsa bsaboot.inf,oneaccess_oneos
hostname,oneaccess_oneos
ls,oneaccess_oneos
show cellular-radio context,oneaccess_oneos
show cellular-radio equipment,oneaccess_oneos
show cellular-radio network,oneaccess_oneos
show helpers,oneaccess_oneos
show interfaces,oneaccess_oneos
show ip access-lists,oneaccess_oneos
show ip as-path-access-list,oneaccess_oneos
show ip bgp summary,oneaccess_oneos
show ip interface brief,oneaccess_oneos
show ip prefix-list,oneaccess_oneos
show ip ssh,oneaccess_oneos
show ip vrf brief,oneaccess_oneos
show isdn active,oneaccess_oneos
show isdn led-status,oneaccess_oneos
show isdn status all,oneaccess_oneos
show memory,oneaccess_oneos
show policy-interface output,oneaccess_oneos
show product-info-area,oneaccess_oneos
show reboot counters,oneaccess_oneos
show route-map,oneaccess_oneos
show running-config aaa,oneaccess_oneos
show running-config bind,oneaccess_oneos
show running-config ip dhcp,oneaccess_oneos
show running-config ip route,oneaccess_oneos
show snmp community,oneaccess_oneos
show sntp,oneaccess_oneos
show soft-file info,oneaccess_oneos
show software-image,oneaccess_oneos
show system hardware,oneaccess_oneos
show system secure-crashlog,oneaccess_oneos
show system status,oneaccess_oneos
show tacacs,oneaccess_oneos
show tacacs-server,oneaccess_oneos
show track all,oneaccess_oneos
show transceiver equipment,oneaccess_oneos
show voice dial-peer voice voip all,oneaccess_oneos
show voice mos,oneaccess_oneos
show voice sip-gateway,oneaccess_oneos
show voice voice-port all,oneaccess_oneos
show voice voice-port pri all,oneaccess_oneos
show voice voice-port pri all histo,oneaccess_oneos
show voice voip-call active all,oneaccess_oneos
show voice voip-call any all,oneaccess_oneos
show vrrp interface,oneaccess_oneos
debug swm status,paloalto_panos
request license info,paloalto_panos
show arp all,paloalto_panos
show counter global,paloalto_panos
show high-availability all,paloalto_panos
show interface hardware,paloalto_panos
show interface logical,paloalto_panos
show interface management,paloalto_panos
show jobs all,paloalto_panos
show mac all,paloalto_panos
show running nat-policy,paloalto_panos
show running security-policy,paloalto_panos
show system info,paloalto_panos
test security-policy-match,paloalto_panos
show arp,ruckus_fastiron
show interfaces,ruckus_fastiron
show interfaces brief,ruckus_fastiron
show mac-address,ruckus_fastiron
show media validation,ruckus_fastiron
show version,ruckus_fastiron
show vlan,ruckus_fastiron
show arp,ubiquiti_edgerouter
show dhcp leases,ubiquiti_edgerouter
show dhcpv6 server leases,ubiquiti_edgerouter
show interfaces,ubiquiti_edgerouter
show interfaces ethernet physical,ubiquiti_edgerouter
show ip route,ubiquiti_edgerouter
show ipv6 neighbors,ubiquiti_edgerouter
show ipv6 route,ubiquiti_edgerouter
show nat rules,ubiquiti_edgerouter
show version,ubiquiti_edgerouter
show arp,ubiquiti_edgeswitch
show version,ubiquiti_edgeswitch
