device_name,interface,ip_address
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo0,
R4,Lo99,
R4,Lo99,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback0,
R4,Loopback99,
R4,Loopback99,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vl20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
R4,Vlan20,
SW1,Et0/0,
SW1,Et0/0,
SW1,Et0/0,
SW1,Et0/0,
SW1,Et0/0,
SW1,Et0/0,
SW1,Et0/0,
SW1,Et0/0,
