command_name,platform,category,template_path,has_template,allowed,blacklisted,pipe_allowed,updated_at
show port-security interface interface,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_port-security_interface_interface.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip interface,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_interface.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip interface brief,cisco_ios,interfaces,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_interface_brief.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show processes cpu,cisco_ios,performance,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_processes_cpu.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show processes memory sorted,cisco_ios,performance,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_processes_memory_sorted.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show route-map,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_route-map.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip mroute,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_mroute.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show capability feature routing,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_capability_feature_routing.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show running-config partition route-map,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_running-config_partition_route-map.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip ospf neighbor detail,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_ospf_neighbor_detail.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip route,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_route.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show interfaces description,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_interfaces_description.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip ospf neighbor,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_ospf_neighbor.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip bgp,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_bgp.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip bgp neighbors,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_bgp_neighbors.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip bgp neighbors advertised-routes,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_bgp_neighbors_advertised-routes.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip bgp summary,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_bgp_summary.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip bgp vpnv4 all neighbors,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_bgp_vpnv4_all_neighbors.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip eigrp interfaces detail,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_eigrp_interfaces_detail.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip eigrp neighbors,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_eigrp_neighbors.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ipv6 route,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ipv6_route.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip eigrp neighbors detail,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_eigrp_neighbors_detail.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip eigrp topology,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_eigrp_topology.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show isis neighbors,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_isis_neighbors.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip ospf interface brief,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_ospf_interface_brief.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip ospf database,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_ospf_database.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip ospf database network,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_ospf_database_network.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip ospf database router,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_ospf_database_router.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
traceroute,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_traceroute.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip route summary,cisco_ios,routing,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_route_summary.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show access-list,cisco_ios,security,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_access-list.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ipv6 access-lists,cisco_ios,security,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ipv6_access-lists.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip access-lists,cisco_ios,security,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_access-lists.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show snmp user,cisco_ios,security,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_snmp_user.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show wireless tag policy summary,cisco_ios,security,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_wireless_tag_policy_summary.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show policy-map,cisco_ios,security,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_policy-map.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show users,cisco_ios,security,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_users.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show mac-address-table,cisco_ios,switching,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_mac-address-table.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show spanning-tree,cisco_ios,switching,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_spanning-tree.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show spanning-tree root,cisco_ios,switching,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_spanning-tree_root.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show vlan,cisco_ios,switching,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_vlan.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show vlan group,cisco_ios,switching,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_vlan_group.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show vlans,cisco_ios,switching,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_vlans.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show clock,cisco_ios,system,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_clock.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show inventory,cisco_ios,system,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_inventory.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show platform,cisco_ios,system,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_platform.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show platform diag,cisco_ios,system,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_platform_diag.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show license,cisco_ios,system,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_license.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show license status,cisco_ios,system,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_license_status.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show version,cisco_ios,system,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_version.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show lldp neighbors detail,cisco_ios,topology,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_lldp_neighbors_detail.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ap cdp neighbors,cisco_ios,topology,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ap_cdp_neighbors.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show bfd neighbors details,cisco_ios,topology,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_bfd_neighbors_details.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show cdp neighbors,cisco_ios,topology,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_cdp_neighbors.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show cdp neighbors detail,cisco_ios,topology,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_cdp_neighbors_detail.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ipv6 neighbors,cisco_ios,topology,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ipv6_neighbors.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show lldp neighbors,cisco_ios,topology,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_lldp_neighbors.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
