device_name,neighbor_ip,neighbor_as,state,snapshot_id,created_at
SW1,2.2.2.2,65001,Established,2026-03-29_2139,
SW2,1.1.1.1,65000,Established,2026-03-30_1859,
SW2,2.2.2.2,65001,Established,2026-03-30_1859,
R3,1.1.1.1,65000,Established,2026-03-04_1109,
R4,2.2.2.2,65001,Established,2026-03-02_1652,
R3,1.1.1.1,65000,Established,2026-03-21_1840,
R4,2.2.2.2,65001,Established,2026-03-06_0931,
SW2,2.2.2.2,65001,Established,2026-03-30_1923,
SW2,1.1.1.1,65000,Established,2026-03-30_1923,
R3,1.1.1.1,65000,Established,2026-03-16_1414,
R3,1.1.1.1,65000,Established,2026-03-02_2127,
R4,2.2.2.2,65001,Established,2026-03-05_1627,
R3,1.1.1.1,65000,Established,2026-03-21_1850,
R4,2.2.2.2,65001,Established,2026-03-06_0246,
R4,2.2.2.2,65001,Established,2026-03-03_1940,
SW1,2.2.2.2,65001,Established,2026-03-30_1917,
SW1,1.1.1.1,65000,Established,2026-03-30_1917,
SW1,2.2.2.2,65001,Established,2026-03-30_2210,
R3,1.1.1.1,65000,Established,2026-03-04_1124,
R3,1.1.1.1,65000,Established,2026-03-29_2304,
SW2,1.1.1.1,65000,Established,2026-03-30_2148,
R3,1.1.1.1,65000,0,2026-03-05_1627,
R3,1.1.1.1,65000,0,2026-03-03_1940,
R3,1.1.1.1,65000,0,2026-03-06_0246,
R4,2.2.2.2,65001,0,2026-03-05_1627,
R4,2.2.2.2,65001,0,2026-03-06_0246,
R4,2.2.2.2,65001,0,2026-03-03_1940,
SW1,1.1.1.1,65000,0,2026-03-29_2127,
SW2,2.2.2.2,65001,0,2026-03-30_1923,
SW2,1.1.1.1,65000,0,2026-03-30_1923,
R3,1.1.1.1,65000,0,2026-03-03_1951,
R4,2.2.2.2,65001,0,2026-03-03_1951,
R3,1.1.1.1,65000,0,2026-03-29_2139,
R3,1.1.1.1,65000,0,2026-03-05_1918,
R4,2.2.2.2,65001,0,2026-03-03_1751,
R3,1.1.1.1,65000,0,2026-03-04_1115,
SW1,2.2.2.2,65001,0,2026-03-30_1917,
SW1,2.2.2.2,65001,0,2026-03-30_2210,
SW1,1.1.1.1,65000,0,2026-03-30_2210,
R4,2.2.2.2,65001,0,2026-03-04_1115,
R3,1.1.1.1,65000,0,2026-03-03_1751,
R3,1.1.1.1,65000,0,2026-03-03_1746,
R4,2.2.2.2,65001,0,2026-03-03_1746,
R4,2.2.2.2,65001,0,2026-03-05_1918,
R4,1.1.1.1,65000,0,2026-03-29_2139,
R4,2.2.2.2,65001,0,2026-03-29_2139,
R3,1.1.1.1,65000,0,2026-03-29_2127,
R4,1.1.1.1,65000,0,2026-03-29_2127,
R4,2.2.2.2,65001,0,2026-03-29_2127,
R4,2.2.2.2,65001,0,2026-03-02_1652,
R4,2.2.2.2,65001,0,2026-03-06_0931,
R3,1.1.1.1,65000,0,2026-03-06_0931,
R3,1.1.1.1,65000,0,2026-03-02_1652,
R4,2.2.2.2,65001,0,2026-03-02_1810,
R3,1.1.1.1,65000,0,2026-03-02_1810,
R4,1.1.1.1,65000,0,2026-03-30_1859,
R4,2.2.2.2,65001,0,2026-03-30_1859,
R3,2.2.2.2,65001,0,2026-03-30_1923,
R3,1.1.1.1,65000,0,2026-03-30_1923,
R4,2.2.2.2,65001,0,2026-03-30_1923,
R3,1.1.1.1,65000,0,2026-03-30_1859,
R3,1.1.1.1,65000,0,2026-03-03_1754,
R4,2.2.2.2,65001,0,2026-03-03_1754,
R4,2.2.2.2,65001,0,2026-03-05_1615,
R3,1.1.1.1,65000,0,2026-03-05_1559,
R3,1.1.1.1,65000,0,2026-03-30_2148,
R4,2.2.2.2,65001,0,2026-03-02_2038,
R4,1.1.1.1,65000,0,2026-03-30_2148,
R4,2.2.2.2,65001,0,2026-03-30_2148,
R3,1.1.1.1,65000,0,2026-03-02_2110,
R3,1.1.1.1,65000,0,2026-03-02_1717,
